gene,p_value,coefficients,variance_explained
Vcpip1,0.9987252466336515,"[ 0.01976219  0.00610952 -0.01198236  0.01477856  0.01510898 -0.04377691
 -0.98440581]","OrderedDict([('explained_deviance', 1.5234577247502656e-06), ('McFadden', 0.9999987370986524), ('McFadden_adj', -1.492554684290326e-06)])"
1700034P13Rik,0.9773285801586253,"[ 0.01576443  0.00258852 -0.01434091  0.00544523  0.00635427 -0.01581155
 -0.98072897]","OrderedDict([('explained_deviance', 3.0696616666325838e-06), ('McFadden', 0.9999968829726501), ('McFadden_adj', 3.6082291765549e-07)])"
Sgk3,0.9068797627964961,"[-1.32861190e-03  3.43497077e-04  2.92073461e-03  5.14833874e-03
 -6.30619855e-03 -7.77764881e-04 -9.88542925e-01]","OrderedDict([('explained_deviance', 7.906512418220935e-06), ('McFadden', 0.9999916203004119), ('McFadden_adj', 5.676235249274519e-06)])"
Snhg6,0.9704649151024363,"[ 0.00262887  0.00216543  0.00145229  0.00744334  0.00971632 -0.02340625
 -1.01897215]","OrderedDict([('explained_deviance', 2.3543500105027704e-06), ('McFadden', 0.9999970841650763), ('McFadden_adj', 3.3040988689503337e-07)])"
Mcmdc2,0.9709974059654405,"[-0.01438738 -0.0025224   0.0123386  -0.00870315 -0.01169794  0.02497228
 -0.94449796]","OrderedDict([('explained_deviance', 5.154482662583781e-06), ('McFadden', 0.999994283039842), ('McFadden_adj', 2.812808824304014e-06)])"
Cops5,0.5913806938627402,"[-0.01450917 -0.00430612  0.01077174  0.00218875  0.00108695  0.00476783
 -1.00825095]","OrderedDict([('explained_deviance', 1.066030324103906e-05), ('McFadden', 0.9999864388481308), ('McFadden_adj', 1.0944961282732812e-05)])"
Cspp1,0.8742607845083835,"[ 0.02527094  0.00730235 -0.01535362  0.02559127  0.02421526 -0.0670262
 -1.01440887]","OrderedDict([('explained_deviance', 9.872501181451554e-06), ('McFadden', 0.9999886118988892), ('McFadden_adj', 8.746328960196337e-06)])"
Arfgef1,0.4077346381454645,"[-0.0694616  -0.0267681   0.03515104 -0.03457065 -0.04968802  0.14533732
 -0.97109613]","OrderedDict([('explained_deviance', 2.295023830123366e-05), ('McFadden', 0.9999795400964397), ('McFadden_adj', 1.775589795571797e-05)])"
Cpa6,0.9812126287654195,"[ 4.69853292e-03  1.80149907e-03 -3.00999525e-03 -2.50015039e-03
 -1.50796138e-03  5.18070194e-04 -9.74484545e-01]","OrderedDict([('explained_deviance', 2.707764252152245e-06), ('McFadden', 0.9999965428320915), ('McFadden_adj', 6.808180378348183e-07)])"
Prex2,0.9997296322441798,"[ 0.01375318  0.00575344 -0.00571651  0.01039762  0.01218261 -0.03637035
 -1.00328647]","OrderedDict([('explained_deviance', 3.853189154412462e-07), ('McFadden', 0.9999999090597017), ('McFadden_adj', -2.574399208699063e-06)])"
A830018L16Rik,0.791654674814376,"[ 3.39285741e-03 -1.00229621e-03 -7.23835180e-03 -1.00579368e-02
 -4.67538527e-03  1.95811076e-02 -1.01796074e+00]","OrderedDict([('explained_deviance', 8.623166625643108e-06), ('McFadden', 0.9999904321278846), ('McFadden_adj', 7.013595509031134e-06)])"
Sulf1,0.9859931377115674,"[ 0.02526233  0.01127561 -0.0088817   0.02215664  0.02590118 -0.07571407
 -1.00182922]","OrderedDict([('explained_deviance', 2.311585476255651e-06), ('McFadden', 0.999998739933595), ('McFadden_adj', -1.4372125853867601e-06)])"
Slco5a1,0.9998244501124641,"[ 0.01114841  0.00453219 -0.00451388  0.01112687  0.00990066 -0.03219425
 -0.95165121]","OrderedDict([('explained_deviance', 7.435385496190605e-07), ('McFadden', 0.9999994382061904), ('McFadden_adj', -2.3474050547811487e-06)])"
