gene,p_value,coefficients,variance_explained
Hrh3,0.9893757213444183,"[ 0.01639966  0.00634185 -0.00839778  0.00711919  0.0127895  -0.03425242
 -0.9903309 ]","OrderedDict([('explained_deviance', 2.0896813174298146e-06), ('McFadden', 0.9999980267546886), ('McFadden_adj', -7.483161048593701e-07)])"
Osbpl2,0.5401767254929924,"[-0.01690692 -0.00636993  0.01031667  0.00332325 -0.0072424   0.01687934
 -1.0091275 ]","OrderedDict([('explained_deviance', 1.4804804547852157e-05), ('McFadden', 0.9999827206097762), ('McFadden_adj', 1.466445846720621e-05)])"
Adrm1,0.6147020840248061,"[ 0.01721046  0.00177684 -0.01559066  0.02074505  0.01937705 -0.04351875
 -0.96955697]","OrderedDict([('explained_deviance', 2.146990559726003e-05), ('McFadden', 0.9999729600778874), ('McFadden_adj', 2.4201822806602102e-05)])"
Lama5,0.9879427829566481,"[-0.01669264 -0.00613838  0.00912487 -0.00704617 -0.01334994  0.03410224
 -1.00388824]","OrderedDict([('explained_deviance', 2.6346860310111353e-06), ('McFadden', 0.9999974798581824), ('McFadden_adj', -9.24430691995326e-08)])"
Rps21,0.9958096238136299,"[-2.51181493e-04  3.12521124e-03  6.08481279e-03  2.64688962e-03
  1.21065168e-03 -1.28163887e-02 -9.84366561e-01]","OrderedDict([('explained_deviance', 3.5359581166405363e-06), ('McFadden', 0.9999960383929926), ('McFadden_adj', 1.2329404486255413e-06)])"
Cables2,0.9970101766739333,"[ 0.01487317  0.00577159 -0.00731689  0.00852943  0.01357908 -0.03543639
 -0.99622972]","OrderedDict([('explained_deviance', 1.3603877037082768e-06), ('McFadden', 0.9999988535821491), ('McFadden_adj', -1.5441773661972746e-06)])"
B230312C02Rik,0.7491126293632295,"[ 0.01262651  0.00172804 -0.01334138 -0.00532225  0.00708963 -0.00278055
 -0.95976135]","OrderedDict([('explained_deviance', 1.7325072647067508e-05), ('McFadden', 0.999982088981295), ('McFadden_adj', 1.5061729599419316e-05)])"
Slco4a1,0.9756848874378533,"[-0.01063401 -0.00319813  0.00578527 -0.01436139 -0.01386181  0.03627006
 -0.99386137]","OrderedDict([('explained_deviance', 5.378156069490991e-06), ('McFadden', 0.9999934090395107), ('McFadden_adj', 3.938080949450473e-06)])"
Mrgbp,0.9998129096923344,"[ 0.00802825  0.00252009 -0.00481484  0.00593951  0.008838   -0.02051102
 -0.91772978]","OrderedDict([('explained_deviance', 1.2579738786211436e-06), ('McFadden', 0.9999986389627596), ('McFadden_adj', -1.7136392285177493e-06)])"
Ogfr,0.956855744985204,"[ 1.89593883e-03  6.82813943e-04 -2.91588808e-06  9.10266379e-03
  9.93579973e-03 -2.16143053e-02 -9.87524316e-01]","OrderedDict([('explained_deviance', 6.070136223668143e-06), ('McFadden', 0.9999922210618255), ('McFadden_adj', 5.0420411125129405e-06)])"
Col9a3,0.9910278108974742,"[-0.01992706 -0.00754512  0.01056864 -0.00795846 -0.01321328  0.03807528
 -1.01053979]","OrderedDict([('explained_deviance', 3.130994716937785e-06), ('McFadden', 0.9999967860161679), ('McFadden_adj', 6.367237439519613e-07)])"
Dido1,0.77448892720051,"[-0.02888842 -0.01167286  0.01429687 -0.00947044 -0.01130875  0.0470436
 -0.9641458 ]","OrderedDict([('explained_deviance', 1.3069140111121591e-05), ('McFadden', 0.9999837244302928), ('McFadden_adj', 1.3468043803754881e-05)])"
Gid8,0.9837166348542111,"[-0.00378815 -0.00314135 -0.00172719 -0.00743565 -0.00107608  0.01716841
 -0.98482273]","OrderedDict([('explained_deviance', 4.562721948486725e-06), ('McFadden', 0.999995191933314), ('McFadden_adj', 2.091471272835932e-06)])"
Gm14342,0.9095624323940316,"[-0.00229567  0.00150005  0.0067003   0.00974008  0.00616224 -0.02180701
 -1.00087735]","OrderedDict([('explained_deviance', 6.921330544473747e-06), ('McFadden', 0.9999923178015392), ('McFadden_adj', 5.0097097870072105e-06)])"
2810461L16Rik,0.8736570731756447,"[ 0.01970459  0.00720518 -0.01135135  0.004363    0.01473213 -0.03465356
 -0.98251193]","OrderedDict([('explained_deviance', 7.516049501665734e-06), ('McFadden', 0.9999922361100666), ('McFadden_adj', 5.002586656366326e-06)])"
Gm57443,0.9665003097178599,"[ 0.01632341  0.00513399 -0.00970042  0.01265124  0.01959981 -0.04400804
 -0.98553962]","OrderedDict([('explained_deviance', 7.071262773883369e-06), ('McFadden', 0.9999919766181591), ('McFadden_adj', 5.266438815043628e-06)])"
Gm27032,0.9984971125682337,"[-2.49748389e-03 -2.51775059e-05  3.25965838e-03  1.63199203e-03
  1.07320747e-03 -3.44220139e-03 -9.87543550e-01]","OrderedDict([('explained_deviance', 6.001441053005152e-07), ('McFadden', 0.9999993247474624), ('McFadden_adj', -2.0409487022643447e-06)])"
Ythdf1,0.9982206957078276,"[ 0.00641092  0.00181066 -0.00394015  0.00666763  0.00361395 -0.01456301
 -1.01686928]","OrderedDict([('explained_deviance', 3.618135945293588e-07), ('McFadden', 0.9999996711862542), ('McFadden_adj', -2.248376699265364e-06)])"
Birc7,0.7749100044234732,"[-0.04666464 -0.01825175  0.02286272 -0.02547928 -0.03741795  0.1049509
 -0.97471465]","OrderedDict([('explained_deviance', 9.361530433960041e-06), ('McFadden', 0.9999926248658175), ('McFadden_adj', 4.6737161319976295e-06)])"
Nkain4,0.9998020929988037,"[-2.56886811e-03  3.83711316e-04  3.95771555e-03  8.53786422e-04
  1.58433651e-03 -4.21068644e-03 -9.54914481e-01]","OrderedDict([('explained_deviance', 3.323008309630282e-07), ('McFadden', 0.9999996441056589), ('McFadden_adj', -2.5249604806987236e-06)])"
Arfgap1,0.9500072872436778,"[ 3.45194803e-07 -5.28956318e-05 -1.15492226e-03 -8.24833705e-03
 -2.08051539e-03  1.15363201e-02 -1.00771967e+00]","OrderedDict([('explained_deviance', 4.112584701565503e-06), ('McFadden', 0.9999953566359705), ('McFadden_adj', 2.0392989427131525e-06)])"
9230112E08Rik,0.9833783642130115,"[ 0.02755852  0.01127368 -0.01279569  0.01380137  0.01804114 -0.05787902
 -1.02586061]","OrderedDict([('explained_deviance', 3.901401840034069e-06), ('McFadden', 0.9999960638167793), ('McFadden_adj', 1.372344595074182e-06)])"
Col20a1,0.9908911567897347,"[ 3.16167708e-05 -2.05163381e-03 -3.46790089e-03  1.13743319e-03
  4.50874291e-03 -1.58262854e-04 -9.44814272e-01]","OrderedDict([('explained_deviance', 5.510556359666907e-06), ('McFadden', 0.9999932695487352), ('McFadden_adj', 3.7983430586363554e-06)])"
Chrna4,0.9314333553452099,"[-0.02601077 -0.00900724  0.01547454 -0.00871511 -0.0174014   0.04565997
 -1.02206372]","OrderedDict([('explained_deviance', 7.675006026386377e-06), ('McFadden', 0.9999921186367409), ('McFadden_adj', 5.35778835819567e-06)])"
Kcnq2,0.986382563799189,"[-0.01413253 -0.00441429  0.00832009 -0.01196314 -0.01637891  0.03856877
 -0.98313687]","OrderedDict([('explained_deviance', 4.527997285230789e-06), ('McFadden', 0.9999948088398553), ('McFadden_adj', 2.484038925887333e-06)])"
Eef1a2,0.9840974977083395,"[-4.00193240e-03  2.31285832e-03  9.03793265e-03  4.43390634e-04
 -5.10107470e-04 -7.28214675e-03 -1.01136658e+00]","OrderedDict([('explained_deviance', 4.140484487380469e-06), ('McFadden', 0.9999953170403146), ('McFadden_adj', 2.077714189252511e-06)])"
Ppdpf,0.9201206511373947,"[ 0.01681681  0.00540448 -0.01100258  0.00349629  0.00757992 -0.02229493
 -0.97956228]","OrderedDict([('explained_deviance', 4.468966579129763e-06), ('McFadden', 0.9999949970596752), ('McFadden_adj', 2.233525642436618e-06)])"
Helz2,0.9970570119374613,"[ 0.0219445   0.00809271 -0.01126451  0.01462051  0.01840735 -0.05180057
 -1.0093775 ]","OrderedDict([('explained_deviance', 1.6072438183689641e-06), ('McFadden', 0.9999989303563032), ('McFadden_adj', -1.5713908603220972e-06)])"
Gmeb2,0.9966776238724758,"[-0.02859671 -0.01166606  0.0129073  -0.01765725 -0.02134805  0.06636076
 -0.9880915 ]","OrderedDict([('explained_deviance', 2.0003201224305656e-06), ('McFadden', 0.9999988119235174), ('McFadden_adj', -1.4781800876662032e-06)])"
Stmn3,0.9962637781399479,"[-0.02674859 -0.01083142  0.01213492 -0.01708671 -0.0170711   0.0596029
 -0.9742205 ]","OrderedDict([('explained_deviance', 2.1855935832260087e-06), ('McFadden', 0.999998251226526), ('McFadden_adj', -9.893953465400784e-07)])"
Rtel1,0.9925368929365499,"[-0.01676218 -0.00584065  0.00970006 -0.00718151 -0.00742786  0.02751213
 -1.00425447]","OrderedDict([('explained_deviance', 1.95005396386172e-06), ('McFadden', 0.9999977542474021), ('McFadden_adj', -3.784881865698253e-07)])"
Arfrp1,0.9805351347338291,"[-0.01149123 -0.00348161  0.00794714 -0.00192818 -0.00618649  0.01514037
 -1.01221927]","OrderedDict([('explained_deviance', 2.6330645502836703e-06), ('McFadden', 0.9999971640217864), ('McFadden_adj', 2.461223046479333e-07)])"
Zgpat,0.7136764680286032,"[-0.02162118 -0.00814514  0.0123043  -0.00257841 -0.00479153  0.02483196
 -0.98132568]","OrderedDict([('explained_deviance', 1.3481461737296918e-05), ('McFadden', 0.9999828825727148), ('McFadden_adj', 1.4377871754511773e-05)])"
Zbtb46,0.9892906954667442,"[ 0.02540366  0.01083505 -0.01068706  0.015386    0.02010413 -0.06104178
 -1.00435768]","OrderedDict([('explained_deviance', 1.8153805146914337e-06), ('McFadden', 0.9999988342676013), ('McFadden_adj', -1.4994551331692918e-06)])"
Tpd52l2,0.33004002120891096,"[-0.01754745 -0.00841829  0.00770835  0.00457427 -0.00590291  0.01958603
 -0.97460761]","OrderedDict([('explained_deviance', 2.1388858418069923e-05), ('McFadden', 0.999973539603619), ('McFadden_adj', 2.368701292787545e-05)])"
Dnajc5,0.9989795175325901,"[ 0.00823186  0.0040437  -0.0025385   0.00493632  0.00372871 -0.01840209
 -1.01025539]","OrderedDict([('explained_deviance', 1.332808873710789e-06), ('McFadden', 0.9999983991094363), ('McFadden_adj', -1.0132688721409266e-06)])"
Uckl1,0.9824022083874072,"[ 0.01466616  0.00593599 -0.00580194  0.01601552  0.01105698 -0.04187272
 -0.98126137]","OrderedDict([('explained_deviance', 2.4080377956092747e-06), ('McFadden', 0.9999979510916741), ('McFadden_adj', -7.207234671291474e-07)])"
Zfp512b,0.9996799617889325,"[ 5.61351877e-04  1.12868273e-03  1.48246154e-03  1.65595895e-03
 -9.95977593e-04 -3.83248247e-03 -1.00185558e+00]","OrderedDict([('explained_deviance', 1.0999852865234416e-06), ('McFadden', 0.9999987547274187), ('McFadden_adj', -1.4027687291751079e-06)])"
Prpf6,0.9775366572730396,"[ 0.0196116   0.00982042 -0.00572449  0.0117984   0.01288287 -0.04838881
 -0.95357197]","OrderedDict([('explained_deviance', 3.861474904387485e-06), ('McFadden', 0.9999956996961364), ('McFadden_adj', 1.3975929029630407e-06)])"
Samd10,0.9998417674801902,"[ 1.38538665e-03  3.98211661e-04 -9.18651065e-04  8.48772854e-04
  2.05039956e-03 -3.76412445e-03 -9.63653424e-01]","OrderedDict([('explained_deviance', 1.325435967647337e-07), ('McFadden', 0.9999998504866395), ('McFadden_adj', -2.6896212546034803e-06)])"
Tcea2,0.9522857024924289,"[ 0.0315503   0.01193624 -0.01565023  0.02124166  0.03035639 -0.07943437
 -0.99995194]","OrderedDict([('explained_deviance', 6.084245214976747e-06), ('McFadden', 0.9999947513164663), ('McFadden_adj', 2.53844706399331e-06)])"
Rgs19,0.4784725006214373,"[ 0.03593854  0.01281447 -0.0209875   0.01007761  0.02152087 -0.05936399
 -0.94173116]","OrderedDict([('explained_deviance', 1.6646616064264208e-05), ('McFadden', 0.9999824255701388), ('McFadden_adj', 1.460127976471437e-05)])"
Oprl1,0.9659702414861582,"[ 0.03053348  0.00991586 -0.01878771  0.01424056  0.01905859 -0.05496078
 -0.98189017]","OrderedDict([('explained_deviance', 5.042879015260127e-06), ('McFadden', 0.9999953604979595), ('McFadden_adj', 1.8649440676199447e-06)])"
Myt1,0.7925614503601812,"[ 0.01709121  0.00717554 -0.00851988  0.00154352  0.00998102 -0.02727141
 -0.95384664]","OrderedDict([('explained_deviance', 7.745573447182075e-06), ('McFadden', 0.9999911481213294), ('McFadden_adj', 5.9604548943159585e-06)])"
Pcmtd2,0.9622806874794815,"[ 1.33678386e-03  1.58110002e-05 -4.84849316e-04  8.97082419e-03
  8.49737506e-03 -1.83359497e-02 -9.93024084e-01]","OrderedDict([('explained_deviance', 6.421452546812034e-06), ('McFadden', 0.9999917222213313), ('McFadden_adj', 5.573216739218623e-06)])"
Gm57457,0.9827899401174494,"[ 0.01026742  0.00402818 -0.00483692  0.00684536  0.00183027 -0.01813432
 -1.00413649]","OrderedDict([('explained_deviance', 2.3851092382232153e-06), ('McFadden', 0.9999972011733566), ('McFadden_adj', 1.5862390290166672e-07)])"
Polr3k,0.9678372064753809,"[ 4.96684020e-03  8.79935577e-04 -3.35480193e-03  9.88367310e-03
  4.29077110e-03 -1.66664231e-02 -1.01059554e+00]","OrderedDict([('explained_deviance', 2.7299095560762154e-06), ('McFadden', 0.9999968281717938), ('McFadden_adj', 5.509046360208103e-07)])"
1110015O18Rik,0.9962704504118575,"[ 0.01820204  0.00787102 -0.00676509  0.0164892   0.01509729 -0.05089447
 -1.02318127]","OrderedDict([('explained_deviance', 1.3185942351334745e-06), ('McFadden', 0.9999992820374366), ('McFadden_adj', -1.8681291853450688e-06)])"
2700069I18Rik,0.9993809822937674,"[-0.02355212 -0.00934452  0.0106832  -0.01766461 -0.01636867  0.05624671
 -0.92247602]","OrderedDict([('explained_deviance', 1.111579389534434e-06), ('McFadden', 0.9999995788767367), ('McFadden_adj', -2.571272171181249e-06)])"
Zfhx4,0.9905986750748776,"[-0.02277139 -0.00817644  0.01216606 -0.01447773 -0.02066498  0.05392448
 -0.99161995]","OrderedDict([('explained_deviance', 3.269356086188502e-06), ('McFadden', 0.9999971213488776), ('McFadden_adj', 2.1975431152565505e-07)])"
Pex2,0.9998007321156633,"[ 0.01974662  0.00752749 -0.00955527  0.01431867  0.01415504 -0.04619255
 -1.01332811]","OrderedDict([('explained_deviance', 6.149575951797104e-07), ('McFadden', 0.9999999007682001), ('McFadden_adj', -2.523972865597912e-06)])"
Gm8797,0.767577080095661,"[-0.0224496  -0.00600919  0.01688786 -0.00390821 -0.01301526  0.02849438
 -0.98244446]","OrderedDict([('explained_deviance', 1.1335739308560022e-05), ('McFadden', 0.999988245389221), ('McFadden_adj', 9.029035439422906e-06)])"
Pkia,0.950548816422772,"[-0.01743698 -0.00619396  0.01015296 -0.00541377 -0.00894686  0.02783859
 -0.96127174]","OrderedDict([('explained_deviance', 3.360836744237261e-06), ('McFadden', 0.9999962495977723), ('McFadden_adj', 9.202494850590881e-07)])"
Zc2hc1a,0.8478109813130537,"[ 0.01898889  0.00470172 -0.01352128  0.01451706  0.02385478 -0.04854118
 -0.95112573]","OrderedDict([('explained_deviance', 1.6905194041405558e-05), ('McFadden', 0.9999804495793145), ('McFadden_adj', 1.661536610941816e-05)])"
Stmn2,0.991295238521045,"[ 0.02248275  0.00822829 -0.01101711  0.01990625  0.0205788  -0.06017899
 -1.01725667]","OrderedDict([('explained_deviance', 2.6022578057949275e-06), ('McFadden', 0.9999977946665286), ('McFadden_adj', -4.086604707964625e-07)])"
Hey1,0.9964743227416499,"[ 0.01288079  0.00434772 -0.00794923  0.00360137  0.00745443 -0.02033508
 -1.00388504]","OrderedDict([('explained_deviance', 2.1415857280882022e-06), ('McFadden', 0.9999977093481393), ('McFadden_adj', -3.527283842785778e-07)])"
Mrps28,0.9970650475004414,"[ 0.0166834   0.00814622 -0.0047993   0.01342158  0.01397286 -0.04742476
 -1.0189427 ]","OrderedDict([('explained_deviance', 1.162621801498176e-06), ('McFadden', 0.9999992566237408), ('McFadden_adj', -1.8526409797381405e-06)])"
Tpd52,0.9606741489966921,"[-0.01309096 -0.00641071  0.0045574  -0.00408186 -0.00571467  0.0247408
 -0.97382074]","OrderedDict([('explained_deviance', 4.282774092922992e-06), ('McFadden', 0.9999945509006001), ('McFadden_adj', 2.6803279000731095e-06)])"
Zbtb10,0.9993734193919955,"[-0.00633289 -0.0017737   0.00406695 -0.00551646 -0.00928653  0.01884263
 -0.99060405]","OrderedDict([('explained_deviance', 2.4161971856617726e-06), ('McFadden', 0.999997119245217), ('McFadden_adj', 2.0149291191096097e-07)])"
Zfp704,0.8190808071962659,"[ 0.05832634  0.02217014 -0.02902645  0.03707436  0.05086689 -0.13941129
 -1.00617202]","OrderedDict([('explained_deviance', 1.37877656599672e-05), ('McFadden', 0.9999899468190725), ('McFadden_adj', 7.339650517246277e-06)])"
Pag1,0.9985789724042784,"[-1.08280915e-03 -3.28666263e-04  5.60580055e-04 -1.69541973e-03
 -5.26595265e-03  7.81226285e-03 -9.87188383e-01]","OrderedDict([('explained_deviance', 1.3345552948296202e-06), ('McFadden', 0.9999983636467518), ('McFadden_adj', -1.0690653782230441e-06)])"
Fabp5,0.8281591354476038,"[ 4.97581199e-03  2.34669481e-03 -1.39142272e-04  1.51720221e-02
  8.10730228e-03 -3.04626940e-02 -1.02919846e+00]","OrderedDict([('explained_deviance', 7.937605473129494e-06), ('McFadden', 0.9999910870360212), ('McFadden_adj', 6.368036260084864e-06)])"
Myef2l,0.9869664251559872,"[-0.02861567 -0.01162618  0.01251817 -0.02137222 -0.02003974  0.06913564
 -0.99785589]","OrderedDict([('explained_deviance', 1.9004451297099934e-06), ('McFadden', 0.9999991524524142), ('McFadden_adj', -1.7679345185594997e-06)])"
Impa1,0.995484587378577,"[ 0.00807279  0.00299329 -0.00374694  0.00821118  0.00558768 -0.02111802
 -0.99761337]","OrderedDict([('explained_deviance', 5.050611157075835e-07), ('McFadden', 0.9999995929214139), ('McFadden_adj', -2.2755114106320917e-06)])"
Zfand1,0.8674665499908876,"[-0.01090143 -0.00465515  0.0028861  -0.01977771 -0.01534555  0.04779373
 -1.00177839]","OrderedDict([('explained_deviance', 8.885979634221108e-06), ('McFadden', 0.9999898840782043), ('McFadden_adj', 7.51198687976018e-06)])"
Snx16,0.7448652327463295,"[-0.04333988 -0.01555669  0.02213061 -0.03564754 -0.04569055  0.11810405
 -0.95657177]","OrderedDict([('explained_deviance', 1.8826934663151995e-05), ('McFadden', 0.9999806686500564), ('McFadden_adj', 1.6557279452933393e-05)])"
Gm2464,0.9831291587133058,"[ 0.01316601  0.00250046 -0.0102638   0.01330471  0.0092215  -0.02792888
 -0.98831364]","OrderedDict([('explained_deviance', 2.6196259278465917e-06), ('McFadden', 0.9999969145746487), ('McFadden_adj', 3.5214431248764555e-07)])"
Ralyl,0.9986749603216227,"[ 0.01636169  0.00620903 -0.008527    0.00750938  0.01059414 -0.03214725
 -1.01878901]","OrderedDict([('explained_deviance', 1.5145787189974058e-06), ('McFadden', 0.9999985000020988), ('McFadden_adj', -1.078918902885917e-06)])"
Lrrcc1,0.86209642675546,"[ 2.85963121e-03  2.01042752e-03 -9.75877308e-04 -7.25438467e-03
 -5.40868836e-03  8.76888673e-03 -9.78259405e-01]","OrderedDict([('explained_deviance', 8.422416472253502e-06), ('McFadden', 0.9999891247959215), ('McFadden_adj', 8.129282467073118e-06)])"
E2f5,0.9994877453358625,"[-4.42007126e-03 -8.71922968e-04  3.76176753e-03 -1.56933879e-03
 -1.84246625e-03  4.94202664e-03 -1.02610836e+00]","OrderedDict([('explained_deviance', 1.9875106405109477e-07), ('McFadden', 0.9999997974125261), ('McFadden_adj', -2.3251847218741517e-06)])"
Rbis,0.7242933176739705,"[-0.03763358 -0.01441523  0.01961558 -0.01537465 -0.01916506  0.06697294
 -0.97889687]","OrderedDict([('explained_deviance', 1.1788859039185695e-05), ('McFadden', 0.9999863752577679), ('McFadden_adj', 1.0904114470799975e-05)])"
Car13,0.9932752070355443,"[ 0.02999943  0.01082458 -0.01516578  0.02496699  0.02238655 -0.07301176
 -0.95173416]","OrderedDict([('explained_deviance', 2.0473708396417933e-06), ('McFadden', 0.9999991355910791), ('McFadden_adj', -2.079382321662493e-06)])"
Car2,0.9520687179739701,"[-3.87955492e-03 -2.79912531e-04  4.93648547e-03  4.70631245e-03
 -4.22589079e-03 -1.25744469e-03 -1.01217816e+00]","OrderedDict([('explained_deviance', 6.047943666542821e-06), ('McFadden', 0.9999936651316202), ('McFadden_adj', 3.7396314392923458e-06)])"
Ythdf3,0.984574792983603,"[-5.93772551e-03 -2.04995286e-03  2.64207212e-03 -8.89727217e-03
  6.08384253e-04  1.36344894e-02 -9.63053934e-01]","OrderedDict([('explained_deviance', 3.786358510282639e-06), ('McFadden', 0.9999961469182005), ('McFadden_adj', 1.0337727684994746e-06)])"
Gm56811,0.9999128920960179,"[ 0.00948308  0.00305326 -0.00564277  0.00623952  0.0040553  -0.0171884
 -0.94595499]","OrderedDict([('explained_deviance', 2.4303314316576063e-07), ('McFadden', 0.9999997995214669), ('McFadden_adj', -2.722233287899556e-06)])"
Mir124-2hg,0.621448591564924,"[-0.03917583 -0.01262849  0.02455227 -0.01617444 -0.03122555  0.07465203
 -0.97554396]","OrderedDict([('explained_deviance', 1.940800777933127e-05), ('McFadden', 0.9999810131949778), ('McFadden_adj', 1.62724809350534e-05)])"
Bhlhe22,0.959652782271908,"[ 0.02464883  0.010008   -0.0118668   0.01010467  0.01738276 -0.05027746
 -0.97245884]","OrderedDict([('explained_deviance', 4.697643061213341e-06), ('McFadden', 0.9999952238677181), ('McFadden_adj', 1.9493097630496337e-06)])"
Cyp7b1,0.9946120773903974,"[ 3.95976121e-03  4.84272290e-04 -4.18329164e-03 -9.47292671e-04
 -1.97070497e-03  2.65725080e-03 -1.00313717e+00]","OrderedDict([('explained_deviance', 8.29744113861608e-07), ('McFadden', 0.9999989547949002), ('McFadden_adj', -1.5838966784809116e-06)])"
Armc1,0.6526934156267694,"[ 2.18630468e-02  9.16628568e-03 -1.10666293e-02  8.82318075e-04
  1.51245089e-02 -3.59695349e-02 -9.47836965e-01]","OrderedDict([('explained_deviance', 1.4903346978734078e-05), ('McFadden', 0.9999837077208937), ('McFadden_adj', 1.3368504345745436e-05)])"
Mtfr1,0.810266072917204,"[ 0.00670065  0.00271141 -0.00166276  0.01508799  0.01307696 -0.03591426
 -0.97566676]","OrderedDict([('explained_deviance', 7.624181783127959e-06), ('McFadden', 0.9999907946416937), ('McFadden_adj', 6.398924213502077e-06)])"
Pde7a,0.9999972818448185,"[-0.00733919 -0.00269261  0.00362627 -0.00615478 -0.00510755  0.01766787
 -0.93796263]","OrderedDict([('explained_deviance', 1.304271436408655e-07), ('McFadden', 0.9999999450553386), ('McFadden_adj', -2.8883413629721133e-06)])"
1700064H15Rik,0.9992676903661367,"[ 0.01568229  0.00686598 -0.00587222  0.01271474  0.01175448 -0.04114528
 -1.00570209]","OrderedDict([('explained_deviance', 8.536441939988038e-07), ('McFadden', 0.9999995063499347), ('McFadden_adj', -2.1597979646958976e-06)])"
ENSMUSG00000121477,0.9998457729946831,"[-1.95948249e-03 -8.35780631e-04  8.24938120e-04 -1.12918360e-03
  2.16742591e-03  9.32077648e-04 -1.02156897e+00]","OrderedDict([('explained_deviance', 9.349148930581919e-07), ('McFadden', 0.9999988577866308), ('McFadden_adj', -1.4124745806309846e-06)])"
Cp,0.9576063352762413,"[-0.03036325 -0.01255272  0.01369719 -0.01653325 -0.01978228  0.0655343
 -0.99722427]","OrderedDict([('explained_deviance', 4.0423888152396614e-06), ('McFadden', 0.9999960672258991), ('McFadden_adj', 1.3094731244889246e-06)])"
Hps3,0.9998604223519032,"[-2.12313796e-03 -7.27666981e-04  1.47397358e-03  8.29129643e-04
 -4.07030540e-04  9.54727482e-04 -9.62205313e-01]","OrderedDict([('explained_deviance', 3.3396525167539437e-07), ('McFadden', 0.9999996076009274), ('McFadden_adj', -2.4461824783550412e-06)])"
Hltf,0.9414874676265893,"[-7.43283222e-03 -4.24645515e-03  2.41347866e-05 -1.40925242e-02
 -1.01541520e-02  3.59018239e-02 -9.76917539e-01]","OrderedDict([('explained_deviance', 4.391459274000198e-06), ('McFadden', 0.9999954887277799), ('McFadden_adj', 1.775405476411862e-06)])"
Gyg,0.9440014991709644,"[-1.20545499e-03 -1.34243027e-03  1.44673241e-05  6.65552298e-03
  3.23217893e-03 -7.35428874e-03 -9.59777222e-01]","OrderedDict([('explained_deviance', 4.56749256672051e-06), ('McFadden', 0.9999942584667524), ('McFadden_adj', 2.883791089258736e-06)])"
Gm43674,0.8511915972554142,"[ 0.01730354  0.00787676 -0.00762982  0.00104345  0.01053848 -0.02913241
 -0.95970428]","OrderedDict([('explained_deviance', 9.114473632165776e-06), ('McFadden', 0.999989384769472), ('McFadden_adj', 7.758756033093839e-06)])"
Gm43672,0.5568710530959584,"[ 0.01323565  0.00267035 -0.01281193 -0.00807147  0.00641407 -0.00143668
 -0.94113608]","OrderedDict([('explained_deviance', 2.150130439348974e-05), ('McFadden', 0.9999775808620615), ('McFadden_adj', 1.948256502393164e-05)])"
Tbl1xr1,0.9226382919219501,"[ 0.03650956  0.01315931 -0.02019252  0.01709949  0.02403794 -0.07061379
 -0.94274705]","OrderedDict([('explained_deviance', 6.981835575681217e-06), ('McFadden', 0.9999935624838516), ('McFadden_adj', 3.4595622774302726e-06)])"
Naaladl2,0.9919938762144292,"[ 2.30794894e-03  4.15252413e-04 -2.69552295e-03 -4.34019697e-03
 -1.42811929e-03  5.74063320e-03 -9.34894604e-01]","OrderedDict([('explained_deviance', 2.0569956059590666e-06), ('McFadden', 0.9999976610072596), ('McFadden_adj', -6.24058231757374e-07)])"
Nlgn1,0.7160297269403195,"[-0.02133586 -0.00758242  0.01293682 -0.00258903 -0.00976997  0.02834044
 -1.02384594]","OrderedDict([('explained_deviance', 1.0180545944926678e-05), ('McFadden', 0.9999880916798742), ('McFadden_adj', 9.375408252076944e-06)])"
A830092H15Rik,0.9722296631629904,"[ 0.01283302  0.00474558 -0.00578069  0.01462706  0.01109331 -0.03751829
 -0.97998628]","OrderedDict([('explained_deviance', 2.020122981005734e-06), ('McFadden', 0.9999980835112231), ('McFadden_adj', -8.649592406761997e-07)])"
Ect2,0.9760949278147008,"[-0.01376624 -0.00377559  0.00998086 -0.0041288  -0.01169449  0.02338425
 -0.96737845]","OrderedDict([('explained_deviance', 5.180678806948613e-06), ('McFadden', 0.9999947080090178), ('McFadden_adj', 2.497303633330894e-06)])"
Nceh1,0.7909005855278017,"[ 0.01513074  0.00621825 -0.00781207  0.00098593  0.00128273 -0.01580558
 -0.97592363]","OrderedDict([('explained_deviance', 1.0203924726726044e-05), ('McFadden', 0.9999868177088497), ('McFadden_adj', 1.0412850288687991e-05)])"
Tnfsf10,0.9284323140066683,"[-0.03758315 -0.01596902  0.0163085  -0.01965912 -0.02484097  0.08174375
 -0.91934068]","OrderedDict([('explained_deviance', 7.182819676043728e-06), ('McFadden', 0.9999927666319915), ('McFadden_adj', 4.234638950606495e-06)])"
Fndc3b,0.9673972436419758,"[ 5.56235164e-03  3.84479069e-03 -5.56418646e-04 -2.68486210e-03
  1.27953014e-03 -7.44539671e-03 -1.00343890e+00]","OrderedDict([('explained_deviance', 4.665377316581676e-06), ('McFadden', 0.9999939300492867), ('McFadden_adj', 3.4363885286214924e-06)])"
Pld1,0.9929545477691665,"[-0.00602772 -0.00468023 -0.00169222 -0.00802151 -0.00733942  0.02776109
 -0.94874215]","OrderedDict([('explained_deviance', 1.6245408689385954e-06), ('McFadden', 0.9999984704844745), ('McFadden_adj', -1.3494601605046341e-06)])"
